,spread,price_std,transactions_mean,transactions_sum,volume_mean,volume_sum,tick_size,params_id,seed
0,0.003093,0.00744,100.3083,25378,181.786561,45992,0.01,682,0
1,0.003496,0.006507,99.774704,25243,181.328063,45876,0.05,687,0
2,0.003913,0.009049,98.363636,24886,182.426877,46154,0.1,848,0
3,0.004306,0.012201,101.067194,25570,192.217391,48631,0.2,512,0
4,0.006937,0.007952,99.573123,25192,190.521739,48202,0.5,892,0
5,0.003468,0.012291,96.363636,24380,176.055336,44542,0.01,682,1
6,0.003666,0.007125,100.039526,25310,182.727273,46230,0.05,687,1
7,0.004192,0.007396,99.0,25047,178.802372,45237,0.1,848,1
8,0.004825,0.006396,98.948617,25034,180.968379,45785,0.2,512,1
9,0.007097,0.015919,99.379447,25143,221.86166,56131,0.5,892,1
10,0.003407,0.010359,97.241107,24602,166.988142,42248,0.01,682,2
11,0.003745,0.007916,100.545455,25438,193.660079,48996,0.05,687,2
12,0.003996,0.011405,100.956522,25542,196.980237,49836,0.1,848,2
13,0.00438,0.00734,101.023715,25559,198.837945,50306,0.2,512,2
14,0.007405,0.01304,97.679842,24713,195.735178,49521,0.5,892,2
15,0.003364,0.010801,101.604743,25706,192.932806,48812,0.01,682,3
16,0.003348,0.015391,100.339921,25386,187.177866,47356,0.05,687,3
17,0.003387,0.007471,95.889328,24260,175.818182,44482,0.1,848,3
18,0.004522,0.013186,100.351779,25389,190.118577,48100,0.2,512,3
19,0.007529,0.011567,97.956522,24783,180.019763,45545,0.5,892,3
20,0.00322,0.008802,102.620553,25963,198.162055,50135,0.01,682,4
21,0.003435,0.008886,98.83004,25004,171.505929,43391,0.05,687,4
22,0.003844,0.007415,103.3083,26137,195.537549,49471,0.1,848,4
23,0.004542,0.008419,100.478261,25421,194.604743,49235,0.2,512,4
24,0.008475,0.012093,104.474308,26432,201.885375,51077,0.5,892,4
25,0.003349,0.00792,99.604743,25200,180.379447,45636,0.01,682,5
26,0.003343,0.011345,101.458498,25669,200.525692,50733,0.05,687,5
27,0.003668,0.008496,98.193676,24843,174.521739,44154,0.1,848,5
28,0.004353,0.007307,101.505929,25681,195.924901,49569,0.2,512,5
29,0.006878,0.015252,96.264822,24355,190.901186,48298,0.5,892,5
30,0.003456,0.009137,103.932806,26295,206.019763,52123,0.01,682,6
31,0.003512,0.008462,101.01581,25557,192.671937,48746,0.05,687,6
32,0.00397,0.011542,96.509881,24417,156.130435,39501,0.1,848,6
33,0.00467,0.010657,97.043478,24552,170.731225,43195,0.2,512,6
34,0.006989,0.007955,98.592885,24944,197.490119,49965,0.5,892,6
35,0.003783,0.01326,102.268775,25874,191.304348,48400,0.01,682,7
36,0.00396,0.007174,100.948617,25540,188.434783,47674,0.05,687,7
37,0.003772,0.007641,100.857708,25517,185.968379,47050,0.1,848,7
